Time,TOTAL
2025-05-13 14:30:58,1.2043999999999946
2025-05-13 14:30:59,1.2043999999999946
2025-05-13 14:31:00,1.2043999999999946
2025-05-13 14:31:01,1.2043999999999946
2025-05-13 14:31:02,1.2043999999999946
2025-05-13 14:31:03,1.2043999999999946
2025-05-13 14:31:04,1.2043999999999946
2025-05-13 14:31:05,1.2043999999999946
2025-05-13 14:31:06,1.2043999999999946
2025-05-13 14:31:07,1.2043999999999946
2025-05-13 14:31:08,1.2043999999999946
2025-05-13 14:31:09,1.1733000000000025
2025-05-13 14:31:10,1.1733000000000025
2025-05-13 14:31:11,1.1733000000000025
2025-05-13 14:31:12,1.1733000000000025
2025-05-13 14:31:13,1.1733000000000025
2025-05-13 14:31:14,1.1733000000000025
2025-05-13 14:31:15,1.1733000000000025
2025-05-13 14:31:16,1.1733000000000025
2025-05-13 14:31:17,1.1733000000000025
2025-05-13 14:31:18,1.1733000000000025
2025-05-13 14:31:19,1.1733000000000025
2025-05-13 14:31:20,1.1733000000000025
2025-05-13 14:31:21,1.1733000000000025
2025-05-13 14:31:22,1.1733000000000025
2025-05-13 14:31:23,1.1733000000000025
2025-05-13 14:31:24,1.1733000000000025
2025-05-13 14:31:25,1.1733000000000025
2025-05-13 14:31:26,1.1733000000000025
2025-05-13 14:31:27,1.1733000000000025
2025-05-13 14:31:28,1.1733000000000025
2025-05-13 14:31:29,1.1733000000000025
2025-05-13 14:31:30,1.1733000000000025
2025-05-13 14:31:31,1.1733000000000025
2025-05-13 14:31:32,1.1733000000000025
2025-05-13 14:31:33,1.1733000000000025
2025-05-13 14:31:34,1.1733000000000025
2025-05-13 14:31:35,1.1733000000000025
2025-05-13 14:31:36,1.1733000000000025
2025-05-13 14:31:37,1.1733000000000025
2025-05-13 14:31:38,1.1733000000000025
2025-05-13 14:31:39,1.1922999999999926
2025-05-13 14:31:40,1.1922999999999926
2025-05-13 14:31:41,1.1922999999999926
2025-05-13 14:31:42,1.1922999999999926
2025-05-13 14:31:43,1.1922999999999926
2025-05-13 14:31:44,1.1922999999999926
2025-05-13 14:31:45,1.1922999999999926
2025-05-13 14:31:46,1.1922999999999926
2025-05-13 14:31:47,1.1922999999999926
2025-05-13 14:31:48,1.1922999999999926
2025-05-13 14:31:49,1.1922999999999926
2025-05-13 14:31:50,1.1922999999999926
2025-05-13 14:31:51,1.1922999999999926
2025-05-13 14:31:52,1.1922999999999926
2025-05-13 14:31:53,1.1922999999999926
2025-05-13 14:31:54,1.1922999999999926
2025-05-13 14:31:55,1.1922999999999926
2025-05-13 14:31:56,1.1922999999999926
2025-05-13 14:31:57,1.1922999999999926
2025-05-13 14:31:58,1.1922999999999926
2025-05-13 14:31:59,1.1922999999999926
2025-05-13 14:32:00,1.1922999999999926
2025-05-13 14:32:01,1.1922999999999926
2025-05-13 14:32:02,1.1922999999999926
2025-05-13 14:32:03,1.1922999999999926
2025-05-13 14:32:04,1.1922999999999926
2025-05-13 14:32:05,1.1922999999999926
2025-05-13 14:32:06,1.1922999999999926
2025-05-13 14:32:07,1.1922999999999926
2025-05-13 14:32:08,1.1922999999999926
2025-05-13 14:32:09,1.165900000000003
2025-05-13 14:32:10,1.165900000000003
2025-05-13 14:32:11,1.165900000000003
2025-05-13 14:32:12,1.165900000000003
2025-05-13 14:32:13,1.165900000000003
2025-05-13 14:32:14,1.165900000000003
2025-05-13 14:32:15,1.165900000000003
2025-05-13 14:32:16,1.165900000000003
2025-05-13 14:32:17,1.165900000000003
2025-05-13 14:32:18,1.165900000000003
2025-05-13 14:32:19,1.165900000000003
2025-05-13 14:32:20,1.165900000000003
2025-05-13 14:32:21,1.165900000000003
2025-05-13 14:32:22,1.165900000000003
2025-05-13 14:32:23,1.165900000000003
2025-05-13 14:32:24,1.165900000000003
2025-05-13 14:32:25,1.165900000000003
2025-05-13 14:32:26,1.165900000000003
2025-05-13 14:32:27,1.165900000000003
2025-05-13 14:32:28,1.165900000000003
2025-05-13 14:32:29,1.165900000000003
2025-05-13 14:32:30,1.165900000000003
2025-05-13 14:32:31,1.165900000000003
2025-05-13 14:32:32,1.165900000000003
2025-05-13 14:32:33,1.165900000000003
2025-05-13 14:32:34,1.165900000000003
2025-05-13 14:32:35,1.165900000000003
2025-05-13 14:32:36,1.165900000000003
2025-05-13 14:32:37,1.165900000000003
2025-05-13 14:32:38,1.165900000000003
2025-05-13 14:32:39,1.1919999999999922
2025-05-13 14:32:40,1.1919999999999922
2025-05-13 14:32:41,1.1919999999999922
2025-05-13 14:32:42,1.1919999999999922
2025-05-13 14:32:43,1.1919999999999922
2025-05-13 14:32:44,1.1919999999999922
2025-05-13 14:32:45,1.1919999999999922
2025-05-13 14:32:46,1.1919999999999922
2025-05-13 14:32:47,1.1919999999999922
2025-05-13 14:32:48,1.1919999999999922
2025-05-13 14:32:49,1.1919999999999922
2025-05-13 14:32:50,1.1919999999999922
2025-05-13 14:32:51,1.1919999999999922
2025-05-13 14:32:52,1.1919999999999922
2025-05-13 14:32:53,1.1919999999999922
2025-05-13 14:32:54,1.1919999999999922
2025-05-13 14:32:55,1.1919999999999922
2025-05-13 14:32:56,1.1919999999999922
2025-05-13 14:32:57,1.1919999999999922
2025-05-13 14:32:58,1.1919999999999922
2025-05-13 14:32:59,1.1919999999999922
2025-05-13 14:33:00,1.1919999999999922
2025-05-13 14:33:01,1.1919999999999922
2025-05-13 14:33:02,1.1919999999999922
2025-05-13 14:33:03,1.1919999999999922
2025-05-13 14:33:04,1.1919999999999922
2025-05-13 14:33:05,1.1919999999999922
2025-05-13 14:33:06,1.1919999999999922
2025-05-13 14:33:07,1.1919999999999922
2025-05-13 14:33:08,1.1919999999999922
2025-05-13 14:33:09,1.193400000000012
2025-05-13 14:33:10,1.193400000000012
2025-05-13 14:33:11,1.193400000000012
2025-05-13 14:33:12,1.193400000000012
2025-05-13 14:33:13,1.193400000000012
2025-05-13 14:33:14,1.193400000000012
2025-05-13 14:33:15,1.193400000000012
2025-05-13 14:33:16,1.193400000000012
2025-05-13 14:33:17,1.193400000000012
2025-05-13 14:33:18,1.193400000000012
2025-05-13 14:33:19,1.193400000000012
2025-05-13 14:33:20,1.193400000000012
2025-05-13 14:33:21,1.193400000000012
2025-05-13 14:33:22,1.193400000000012
2025-05-13 14:33:23,1.193400000000012
2025-05-13 14:33:24,1.193400000000012
2025-05-13 14:33:25,1.193400000000012
2025-05-13 14:33:26,1.193400000000012
2025-05-13 14:33:27,1.193400000000012
2025-05-13 14:33:28,1.193400000000012
2025-05-13 14:33:29,1.193400000000012
2025-05-13 14:33:30,1.193400000000012
2025-05-13 14:33:31,1.193400000000012
2025-05-13 14:33:32,1.193400000000012
2025-05-13 14:33:33,1.193400000000012
2025-05-13 14:33:34,1.193400000000012
2025-05-13 14:33:35,1.193400000000012
2025-05-13 14:33:36,1.193400000000012
2025-05-13 14:33:37,1.193400000000012
2025-05-13 14:33:38,1.193400000000012
2025-05-13 14:33:39,1.2035000000000007
2025-05-13 14:33:40,1.2035000000000007
2025-05-13 14:33:41,1.2035000000000007
2025-05-13 14:33:42,1.2035000000000007
2025-05-13 14:33:43,1.2035000000000007
2025-05-13 14:33:44,1.2035000000000007
2025-05-13 14:33:45,1.2035000000000007
2025-05-13 14:33:46,1.2035000000000007
2025-05-13 14:33:47,1.2035000000000007
2025-05-13 14:33:48,1.2035000000000007
2025-05-13 14:33:49,1.2035000000000007
2025-05-13 14:33:50,1.2035000000000007
2025-05-13 14:33:51,1.2035000000000007
2025-05-13 14:33:52,1.2035000000000007
2025-05-13 14:33:53,1.2035000000000007
2025-05-13 14:33:54,1.2035000000000007
2025-05-13 14:33:55,1.2035000000000007
2025-05-13 14:33:56,1.2035000000000007
2025-05-13 14:33:57,1.2035000000000007
2025-05-13 14:33:58,1.2035000000000007
2025-05-13 14:33:59,1.2035000000000007
2025-05-13 14:34:00,1.2035000000000007
2025-05-13 14:34:01,1.2035000000000007
2025-05-13 14:34:02,1.2035000000000007
2025-05-13 14:34:03,1.2035000000000007
2025-05-13 14:34:04,1.2035000000000007
2025-05-13 14:34:05,1.2035000000000007
2025-05-13 14:34:06,1.2035000000000007
2025-05-13 14:34:07,1.2035000000000007
2025-05-13 14:34:08,1.2035000000000007
2025-05-13 14:34:09,1.1845999999999928
2025-05-13 14:34:10,1.1845999999999928
2025-05-13 14:34:11,1.1845999999999928
2025-05-13 14:34:12,1.1845999999999928
2025-05-13 14:34:13,1.1845999999999928
2025-05-13 14:34:14,1.1845999999999928
2025-05-13 14:34:15,1.1845999999999928
2025-05-13 14:34:16,1.1845999999999928
2025-05-13 14:34:17,1.1845999999999928
2025-05-13 14:34:18,1.1845999999999928
2025-05-13 14:34:19,1.1845999999999928
2025-05-13 14:34:20,1.1845999999999928
2025-05-13 14:34:21,1.1845999999999928
2025-05-13 14:34:22,1.1845999999999928
2025-05-13 14:34:23,1.1845999999999928
2025-05-13 14:34:24,1.1845999999999928
2025-05-13 14:34:25,1.1845999999999928
2025-05-13 14:34:26,1.1845999999999928
2025-05-13 14:34:27,1.1845999999999928
2025-05-13 14:34:28,1.1845999999999928
2025-05-13 14:34:29,1.1845999999999928
2025-05-13 14:34:30,1.1845999999999928
2025-05-13 14:34:31,1.1845999999999928
2025-05-13 14:34:32,1.1845999999999928
2025-05-13 14:34:33,1.1845999999999928
2025-05-13 14:34:34,1.1845999999999928
2025-05-13 14:34:35,1.1845999999999928
2025-05-13 14:34:36,1.1845999999999928
2025-05-13 14:34:37,1.1845999999999928
2025-05-13 14:34:38,1.1845999999999928
2025-05-13 14:34:39,1.2041999999999993
2025-05-13 14:34:40,1.2041999999999993
2025-05-13 14:34:41,1.2041999999999993
2025-05-13 14:34:42,1.2041999999999993
2025-05-13 14:34:43,1.2041999999999993
2025-05-13 14:34:44,1.2041999999999993
2025-05-13 14:34:45,1.2041999999999993
2025-05-13 14:34:46,1.2041999999999993
2025-05-13 14:34:47,1.2041999999999993
2025-05-13 14:34:48,1.2041999999999993
2025-05-13 14:34:49,1.2041999999999993
2025-05-13 14:34:50,1.2041999999999993
2025-05-13 14:34:51,1.2041999999999993
2025-05-13 14:34:52,1.2041999999999993
2025-05-13 14:34:53,1.2041999999999993
2025-05-13 14:34:54,1.2041999999999993
2025-05-13 14:34:55,1.2041999999999993
2025-05-13 14:34:56,1.2041999999999993
2025-05-13 14:34:57,1.2041999999999993
2025-05-13 14:34:58,1.2041999999999993
2025-05-13 14:34:59,1.2041999999999993
2025-05-13 14:35:00,1.2041999999999993
2025-05-13 14:35:01,1.2041999999999993
2025-05-13 14:35:02,1.2041999999999993
2025-05-13 14:35:03,1.2041999999999993
2025-05-13 14:35:04,1.2041999999999993
2025-05-13 14:35:05,1.2041999999999993
2025-05-13 14:35:06,1.2041999999999993
2025-05-13 14:35:07,1.2041999999999993
2025-05-13 14:35:08,1.2041999999999993
2025-05-13 14:35:09,1.2086000000000012
2025-05-13 14:35:10,1.2086000000000012
2025-05-13 14:35:11,1.2086000000000012
2025-05-13 14:35:12,1.2086000000000012
2025-05-13 14:35:13,1.2086000000000012
2025-05-13 14:35:14,1.2086000000000012
2025-05-13 14:35:15,1.2086000000000012
2025-05-13 14:35:16,1.2086000000000012
2025-05-13 14:35:17,1.2086000000000012
2025-05-13 14:35:18,1.2086000000000012
2025-05-13 14:35:19,1.2086000000000012
2025-05-13 14:35:20,1.2086000000000012
2025-05-13 14:35:21,1.2086000000000012
2025-05-13 14:35:22,1.2086000000000012
2025-05-13 14:35:23,1.2086000000000012
2025-05-13 14:35:24,1.2086000000000012
2025-05-13 14:35:25,1.2086000000000012
2025-05-13 14:35:26,1.2086000000000012
2025-05-13 14:35:27,1.2086000000000012
2025-05-13 14:35:28,1.2086000000000012
2025-05-13 14:35:29,1.2086000000000012
2025-05-13 14:35:30,1.2086000000000012
2025-05-13 14:35:31,1.2086000000000012
2025-05-13 14:35:32,1.2086000000000012
2025-05-13 14:35:33,1.2086000000000012
2025-05-13 14:35:34,1.2086000000000012
2025-05-13 14:35:35,1.2086000000000012
2025-05-13 14:35:36,1.2086000000000012
2025-05-13 14:35:37,1.2086000000000012
2025-05-13 14:35:38,1.2086000000000012
2025-05-13 14:35:39,1.2156000000000025
2025-05-13 14:35:40,1.2156000000000025
2025-05-13 14:35:41,1.2156000000000025
2025-05-13 14:35:42,1.2156000000000025
2025-05-13 14:35:43,1.2156000000000025
2025-05-13 14:35:44,1.2156000000000025
2025-05-13 14:35:45,1.2156000000000025
2025-05-13 14:35:46,1.2156000000000025
2025-05-13 14:35:47,1.2156000000000025
2025-05-13 14:35:48,1.2156000000000025
2025-05-13 14:35:49,1.2156000000000025
2025-05-13 14:35:50,1.2156000000000025
2025-05-13 14:35:51,1.2156000000000025
2025-05-13 14:35:52,1.2156000000000025
2025-05-13 14:35:53,1.2156000000000025
2025-05-13 14:35:54,1.2156000000000025
2025-05-13 14:35:55,1.2156000000000025
2025-05-13 14:35:56,1.2156000000000025
2025-05-13 14:35:57,1.2156000000000025
2025-05-13 14:35:58,1.2156000000000025
